sta_code,sta_name,sta_line,,,,,,,
1001001,소요산,1,,,,,,,
1002002,동두천,1,,,,,,,
1003003,보산,1,,,,,,,
1004004,지행,1,,,,,,,
1005005,덕정,1,,,,,,,
1006006,덕계,1,,,,,,,
1007007,양주,1,,,,,,,
1008008,녹양,1,,,,,,,
1009009,가능,1,,,,,,,
1010010,의정부,1,,,,,,,
1011011,회룡,1,,,,,,,
1012012,망월사,1,,,,,,,
1013013,도봉산,1,,,,,,,
1014014,도봉,1,,,,,,,
1015015,방학,1,,,,,,,
1016016,창동,1,,,,,,,
1017017,녹천,1,,,,,,,
1018018,월계,1,,,,,,,
1019019,광운대,1,,,,,,,
1020020,석계,1,,,,,,,
1021021,신이문,1,,,,,,,
1022022,외대앞,1,,,,,,,
1023023,회기,1,,,,,,,
1024024,청량리,1,,,,,,,
1025025,제기동,1,,,,,,,
1026026,신설동,1,,,,,,,
1027027,동묘앞,1,,,,,,,
1028028,동대문,1,,,,,,,
1029029,종로5가,1,,,,,,,
1030030,종로3가,1,,,,,,,
1031031,종각,1,,,,,,,
1032032,시청,1,,,,,,,
1033033,서울역,1,,,,,,,
1034034,남영,1,,,,,,,
1035035,용산,1,,,,,,,
1036036,노량진,1,,,,,,,
1037037,대방,1,,,,,,,
1038038,신길,1,,,,,,,
1039039,영등포,1,,,,,,,
1040040,신도림,1,,,,,,,
1041041,구로,1,,,,,,,
1042042,가산디지털단지,1,,,,,,,
1043043,독산,1,,,,,,,
1044044,금천구청,1,,,,,,,
1045045,광명,1,,,,,,,
1046046,석수,1,,,,,,,
1047047,관악,1,,,,,,,
1048048,안양,1,,,,,,,
1049049,명학,1,,,,,,,
1050050,금정,1,,,,,,,
1051051,군포,1,,,,,,,
1052052,의왕,1,,,,,,,
1053053,성균관대,1,,,,,,,
1054054,화서,1,,,,,,,
1055055,수원,1,,,,,,,
1056056,세류,1,,,,,,,
1057057,병점,1,,,,,,,
1058058,서동탄,1,,,,,,,
1059059,세마,1,,,,,,,
1060060,오산대,1,,,,,,,
1061061,오산,1,,,,,,,
1062062,진위,1,,,,,,,
1063063,송탄,1,,,,,,,
1064064,서정리,1,,,,,,,
1065065,평택지제,1,,,,,,,
1066066,평택,1,,,,,,,
